,eU,Date,Sample,Description,Elevation_m,Sample_cat
0,1,61.2,Sample1,melilitite,Elev: 831 m,Sample1
1,5,63.5,Sample1,melilitite,Elev: 831 m,Sample1
2,10,68.8,Sample1,melilitite,Elev: 831 m,Sample1
3,15,72.7,Sample1,melilitite,Elev: 831 m,Sample1
4,20,75.4,Sample1,melilitite,Elev: 831 m,Sample1
5,30,78.5,Sample1,melilitite,Elev: 831 m,Sample1
6,40,80.2,Sample1,melilitite,Elev: 831 m,Sample1
7,50,81.2,Sample1,melilitite,Elev: 831 m,Sample1
8,60,81.9,Sample1,melilitite,Elev: 831 m,Sample1
9,70,82.4,Sample1,melilitite,Elev: 831 m,Sample1
10,80,82.7,Sample1,melilitite,Elev: 831 m,Sample1
11,90,83,Sample1,melilitite,Elev: 831 m,Sample1
12,100,83.2,Sample1,melilitite,Elev: 831 m,Sample1
39,1,94.7,Sample2,basement gneiss,Elev: 865 m,Sample2
40,5,104.8,Sample2,basement gneiss,Elev: 865 m,Sample2
41,10,113.4,Sample2,basement gneiss,Elev: 865 m,Sample2
42,15,116.9,Sample2,basement gneiss,Elev: 865 m,Sample2
43,20,118.9,Sample2,basement gneiss,Elev: 865 m,Sample2
44,30,121.2,Sample2,basement gneiss,Elev: 865 m,Sample2
45,40,122.7,Sample2,basement gneiss,Elev: 865 m,Sample2
46,50,123.9,Sample2,basement gneiss,Elev: 865 m,Sample2
47,60,124.8,Sample2,basement gneiss,Elev: 865 m,Sample2
48,70,125.6,Sample2,basement gneiss,Elev: 865 m,Sample2
49,80,126.4,Sample2,basement gneiss,Elev: 865 m,Sample2
50,90,127,Sample2,basement gneiss,Elev: 865 m,Sample2
51,100,127.5,Sample2,basement gneiss,Elev: 865 m,Sample2